Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),Admit-Coming,A/C
Knoxville,Tennessee,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Tinley Park,Illinois,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Franklin Park,New Jersey,United States,Fall 2023,Forensic Science (MS),Started App,Did Not A/C
Port Jefferson,New York,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Nyack,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Scotch Plains,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Mount Ephraim,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Deferred to Spring,Did Not A/C
Gibbstown,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Goshen,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Louisville,Kentucky,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Sunderland,Massachusetts,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Woodbine,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Coming,A/C
San Diego,California,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
Cherryhill,New Jersey,United States of America,Spring 2025,Teacher Ed - English as a Second Language (ESL) Certificate (NOD),Submitted App,Did Not A/C
Madison,Indiana,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
AUDUBON,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Piscataway,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Withdrawn,Did Not A/C
Linwood,New Jersey,United States of America,Fall 2023,Childhood Studies (MA),Admit-Not Coming,Did Not A/C
Manalapan,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Mount Laurel,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Auburn,Alabama,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Not Coming,Did Not A/C
Newark,Delaware,United States of America,Fall 2023,Biology (MS),Denied,Did Not A/C
Pittsburgh,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Withdrawn,Did Not A/C
Oxford,Ohio,United States of America,Fall 2023,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Withdrawn,Did Not A/C
Washington,DistriConnecticut of Columbia,United States of America,Spring 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Highland Park,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Marshalls Creek,Pennsylvania,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Admit-Not Coming,Did Not A/C
Watertown,New York,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Cinnaminson,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Buffalo JunConnecticution,Virginia,United States of America,Fall 2023,Liberal Studies - Online (MA),Deferred to Fall,Did Not A/C
Palmyra,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Not Coming,Did Not A/C
Indianapolis,Indiana,United States of America,Fall 2024,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Staten Island,New York,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Not Coming,Did Not A/C
Gibbstown,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Aventura,Florida,United States of America,Fall 2023,Liberal Studies - Online (MA),Deferred to Spring,Did Not A/C
Phila,Pennsylvania,United States,Fall 2023,Teacher Education (MAT),Started App,Did Not A/C
Arlington,Virginia,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Atco,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
North Bethesda,Maryland,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Memphis,Tennessee,United States of America,Fall 2023,Biology (MS),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Bellmawr,New Jersey,United States,Fall 2023,Teacher Education (MAT),Started App,Did Not A/C
Ann Arbor,Michigan,United States of America,Fall 2023,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
Pennsauken,New Jersey,United States,Spring 2024,Criminal Justice (MA),Started App,Did Not A/C
Huntingdon,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Not Coming,Did Not A/C
Warren,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Philadelphia,PA,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Southampton,PA,United States of America,Fall 2023,English (MA),Admit-Withdrawn,Did Not A/C
Auburn Hills,Michigan,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Haddon Township,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Coming,A/C
New York,New York,United States of America,Fall 2023,Prevention Science (PHD),Started App,Did Not A/C
Lindenwold,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
West Haven,ConneConnecticuticut,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Burlingame,California,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Voorhees,New Jersey,United States of America,Fall 2023,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),Admit-Coming,A/C
Valley City,Ohio,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Westerville,Ohio,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Erie,Pennsylvania,United States of America,Fall 2023,Computer Science: Scientific Computing (MS),Withdrawn,Did Not A/C
Salt Lake City,Utah,United States of America,Spring 2024,Prevention Science (MS),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Withdrawn,Did Not A/C
Keyport,New Jersey,United States of America,Fall 2023,Forensic Science (MS),Admit-Not Coming,Did Not A/C
La Mesa,California,United States of America,Fall 2023,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Denied,Did Not A/C
Cranford,New Jersey,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Athens,Ohio,United States of America,Fall 2023,Data Science (MS),Denied,Did Not A/C
Edison,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Sewell,New Jersey,United States of America,Fall 2023,Childhood Studies (MA),Admit-Coming,A/C
Santa Clara,California,United States of America,Fall 2023,Chemistry - Accelerated BA/MS (MS),Admit-Withdrawn,Did Not A/C
St. Louis,Missouri,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Newington,ConneConnecticuticut,United States of America,Fall 2023,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Waterford works,New Jersey,United States of America,Fall 2023,Biology (MS),Deferred to Spring,Did Not A/C
Haddon Township,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Coming,A/C
E Brunswick,New Jersey,United States,Fall 2023,English (MA),Started App,Did Not A/C
Oak Ridge,New Jersey,United States,Spring 2024,Biology - Accelerated Degree BA/MS (MS),Started App,Did Not A/C
Las Vegas,Nevada,United States,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Voorhees,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Admit-Coming,A/C
Berwyn,Illinois,United States,Fall 2024,Public Affairs/Community Development (PHD),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Forensic Science (MS),Withdrawn,Did Not A/C
Marlton,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Coming,A/C
Phila,Pennsylvania,United States,Fall 2023,Public Affairs/Community Development (MS),Started App,Did Not A/C
Riverside,California,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2023,English (MA),Started App,Did Not A/C
Wenonah,New Jersey,United States,Fall 2023,Forensic Science (MS),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Forensic Science (MS),Admit-Coming,A/C
Ewing,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Chicago,Illinois,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Albany,New York,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Morganville,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Hammonton,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Merchantville,New Jersey,United States,Fall 2023,Prevention Science (PHD),Started App,Did Not A/C
Williamstown,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Admit-Coming,A/C
Galloway,New Jersey,United States of America,Spring 2024,Chemistry (MS),Admit-Coming,A/C
PISCATAWAY,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Oaklyn,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Admit-Coming,A/C
Bristol,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Willow Grove,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Richmond,Indiana,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Not Coming,Did Not A/C
Mount Airy,Maryland,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Denied,Did Not A/C
Harvest,Massachusetts,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
East Orange,New Jersey,United States,Fall 2024,Forensic Science (MS),Denied,Did Not A/C
Saint Paul,Minnesota,United States of America,Fall 2023,Prevention Science (MS),Denied,Did Not A/C
Manalapan,New Jersey,United States of America,Fall 2023,Prevention Science (MS),Denied,Did Not A/C
Hanover,New Hampshire,United States of America,Fall 2023,Prevention Science (MS),Admit-Withdrawn,Did Not A/C
Fishers,Indiana,United States of America,Fall 2023,Prevention Science (MS),Denied,Did Not A/C
Indian Land,South Carolina,United States of America,Fall 2023,Prevention Science (MS),Denied,Did Not A/C
Elmhurst,NY,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Long Island City,New York,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
New York,New York,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Bridgewater,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Rye,New York,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Tucson,Arizona,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Evergreen Park,Illinois,United States of America,Fall 2023,Prevention Science (PHD),Admit-Withdrawn,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Bloomington,Indiana,United States of America,Fall 2023,Prevention Science (PHD),Admit-Withdrawn,Did Not A/C
Saugus,Massachusetts,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Sylva,North Carolina,United States of America,Fall 2023,Prevention Science (PHD),Admit-Coming,A/C
Kingston,New York,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Vineland,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Flushing,New York,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Florham Park,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Admit-Not Coming,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Absecon,New Jersey,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Chicopee,Massachusetts,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
cape may court house,New Jersey,United States,Spring 2024,Criminal Justice (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Coming,A/C
Baldwinsville,New York,United States of America,Fall 2023,Biology (MS),Admit-Withdrawn,Did Not A/C
Temple Terrace,Florida,United States of America,Fall 2023,Chemistry (MS),Admit-Not Coming,Did Not A/C
Charleston,South Carolina,United States of America,Fall 2023,Chemistry (MS),Admit-Coming,A/C
Oakland,California,United States of America,Fall 2023,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
